1654248399782190788,148,15025,100,15055,50
1654248399782196528,45,22700,50,22750,800
1654248399782199384,158,49830,400,49955,750
1654248399782235688,156,41150,50,41235,750
1654248399782272408,148,15025,50,15055,50
1654248399782283800,158,49830,400,49950,300
1654248399782287156,45,22700,250,22750,800
1654248399782302808,45,22700,250,22750,650
1654248399782370436,45,22700,250,22750,550
1654248399782387240,158,49825,50,49950,300
1654248399782392116,198,247045,100,248930,100
1654248399783262248,140,3700,1150,3710,3150
1654248399784000752,48,14230,400,14260,50
1654248399784011568,148,15025,50,15050,400
1654248399784013744,55,2995,1700,3000,1000
1654248399784016284,137,2055,1650,2065,8850
1654248399784021212,147,12865,350,12890,200
1654248399784095440,148,15020,650,15050,400
1654248399784106224,55,2995,1700,3000,950
1654248399784106348,137,2055,2400,2065,8850
1654248399784115436,55,2995,1700,3000,700
1654248399784132208,137,2055,2400,2065,9050
1654248399784140240,55,2995,2000,3000,700
1654248399784163900,147,12865,300,12890,200
