1654227900022809000,133,930,100,0
1654227900022815444,133,950,100,0
1654227900024480752,0,1676150,50,1
1654227900025360500,55,7440,50,0
1654227900025490296,0,1675500,100,1
1654227900026024244,0,1675500,50,1
1654227900026156912,0,1675500,150,1
1654227900026262064,148,10000,50,0
1654227900026421476,136,1880,100,0
1654227900026462324,146,8100,100,1
1654227900026538620,47,23500,50,1
1654227900026641528,0,1675500,50,1
1654227900026706028,0,1675500,50,1
1654227900026774144,137,2000,50,0
1654227900026840408,0,1675500,50,1
1654227900026978208,0,1675500,50,1
1654227900027246912,49,18330,50,1
1654227900027686116,0,1675500,50,1
